"source_file","sample_id","fo","k","j","i","fm","fluorojip_FvFm","vendor_FvFm","fluorojip_Mo","vendor_Mo","fluorojip_ABS_RC","vendor_ABS_RC","fluorojip_TRo_RC","vendor_TRo_RC","fluorojip_ETo_RC","vendor_ETo_RC","fluorojip_DIo_RC","vendor_DIo_RC","fluorojip_psi_Eo","vendor_Psi_o","fluorojip_phi_Eo","vendor_Phi_Eo","fluorojip_PI_abs","vendor_PI_abs","diff_FvFm","diff_Mo","diff_ABS_RC","diff_TRo_RC","diff_ETo_RC","diff_DIo_RC","diff_Psi_o","diff_Phi_Eo","diff_PI_abs"
"FluorPen - test 1.xlsx","1",4317,5952,8883,11026,19142,0.774475,0.775,0.441147,0.451,1.849415,1.929,1.432326,1.495,0.991179,1.045,0.417089,0.433,0.692007,0.699,0.535942,0.542,4.172029,4.145,-0.000524999999999998,-0.009853,-0.0795849999999998,-0.0626739999999999,-0.0538209999999999,-0.015911,-0.00699299999999992,-0.00605800000000001,0.0270289999999997
"FluorPen - test 1.xlsx","2",3778,4616,7138,8803,16380,0.769353,0.791,0.26599,0.277,1.296699,1.333,0.997619,1.054,0.73163,0.777,0.29908,0.278,0.733376,0.737,0.564225,0.583,7.075629,7.982,-0.0216470000000001,-0.01101,-0.0363010000000001,-0.056381,-0.04537,0.02108,-0.00362399999999996,-0.018775,-0.906371000000001
"FluorPen - test 1.xlsx","3",4336,6171,11126,9890,12043,0.639957,0.641,0.952381,1.017,1.689179,1.805,1.081001,1.157,0.128621,0.14,0.608177,0.648,0.118983,0.121,0.076144,0.078,0.142108,0.136,-0.00104300000000002,-0.0646189999999999,-0.115821,-0.0759989999999999,-0.011379,-0.0398230000000001,-0.00201699999999999,-0.001856,0.006108
"FluorPen - test 1.xlsx","4",5692,7926,11714,10667,15772,0.639107,0.638,0.886508,0.911,2.321821,2.421,1.483892,1.545,0.597384,0.634,0.837928,0.875,0.402579,0.41,0.257291,0.262,0.513971,0.507,0.00110699999999997,-0.0244920000000001,-0.0991790000000004,-0.0611079999999999,-0.036616,-0.037072,-0.00742099999999996,-0.00470900000000002,0.00697099999999995
"FluorPen - test 1.xlsx","5",3419,4097,5842,7028,13878,0.753639,0.765,0.259298,0.261,1.485159,1.5,1.119274,1.148,0.859975,0.887,0.365886,0.352,0.768333,0.773,0.579046,0.591,6.831319,7.392,-0.0113610000000001,-0.00170200000000004,-0.0148410000000001,-0.028726,-0.027025,0.013886,-0.00466699999999998,-0.011954,-0.560681000000001
"FluorPen - test 1.xlsx","6",4845,6600,9890,12243,22721,0.786761,0.787,0.392705,0.405,1.768614,1.859,1.391477,1.463,0.998771,1.058,0.377137,0.396,0.717778,0.723,0.56472,0.569,5.305702,5.205,-0.000238999999999989,-0.012295,-0.0903860000000001,-0.071523,-0.0592290000000001,-0.018863,-0.00522199999999995,-0.00427999999999995,0.100702
"FluorPen - test 1.xlsx","7",5483,6031,6939,7666,11056,0.50407,0.51,0.393325,0.383,2.986676,2.968,1.505495,1.513,1.11217,1.13,1.481182,1.456,0.73874,0.747,0.372377,0.381,0.962281,1.033,-0.00592999999999999,0.010325,0.0186760000000001,-0.00750500000000009,-0.01783,0.025182,-0.00826000000000005,-0.00862299999999999,-0.0707189999999999
"FluorPen - test 1.xlsx","8",3818,4715,6969,7856,16221,0.764626,0.771,0.289285,0.294,1.489206,1.532,1.138686,1.181,0.849401,0.887,0.35052,0.351,0.745949,0.751,0.570372,0.579,6.405059,6.622,-0.00637399999999999,-0.00471499999999997,-0.0427939999999998,-0.0423139999999997,-0.037599,-0.00047999999999998,-0.00505100000000003,-0.00862799999999997,-0.216941
"FluorPen - test 1.xlsx","9",4336,5882,9920,11096,20438,0.787846,0.79,0.384052,0.404,1.405668,1.494,1.10745,1.18,0.723398,0.776,0.298218,0.314,0.653211,0.658,0.51463,0.519,4.976175,4.831,-0.00215399999999999,-0.019948,-0.0883320000000003,-0.0725500000000001,-0.052602,-0.015782,-0.00478900000000004,-0.00436999999999999,0.145174999999999
"FluorPen - test 1.xlsx","10",6502,10078,15312,17523,22432,0.710146,0.708,0.897928,0.929,2.286303,2.407,1.62361,1.703,0.725681,0.774,0.662694,0.703,0.446955,0.454,0.317404,0.322,0.866042,0.838,0.00214600000000009,-0.0310720000000001,-0.120697,-0.0793900000000001,-0.048319,-0.040306,-0.00704500000000002,-0.00459599999999999,0.028042
